국가,대륙
캐나다,북아메리카
미국,북아메리카
아르헨티나,남아메리카
바베이도스,북아메리카
버뮤다,남아메리카
볼리비아,남아메리카
브라질,남아메리카
바하마,북아메리카
벨리즈,북아메리카
칠레,남아메리카
콜롬비아,남아메리카
코스타리카,북아메리카
쿠바,북아메리카
도미니카 연방,북아메리카
도미니카 공화국,북아메리카
에콰도르,남아메리카
그레나다,북아메리카
과테말라,북아메리카
가이아나,남아메리카
온두라스,남아메리카
아이티,북아메리카
세인트 키츠 네비스,북아메리카
세인트루시아,북아메리카
세인트 마틴,남아메리카
멕시코,북아메리카
니카라과,북아메리카
파나마,북아메리카
페루,남아메리카
파라과이,남아메리카
수리남,남아메리카
엘살바도르,남아메리카
트리니다드 토바고,북아메리카
우루과이,남아메리카
세인트빈센트 그레나딘,북아메리카
베네수엘라,남아메리카
앤티가 바부다,북아메리카
자메이카,북아메리카
터키,아시아
아프가니스탄,아시아
아르차흐 공화국,아시아
아르메니아,아시아
아제르바이잔,아시아
방글라데시,아시아
브루나이,아시아
부탄,아시아
중국,아시아
홍콩,아시아
인도네시아,아시아
인도,아시아
일본🇯,아시아
북키프로스,아시아
키프로스,아시아
키르기스스탄,아시아
캄보디아,아시아
조선민주주의인민공화국,아시아
대한민국,아시아
카자흐스탄,아시아
라오스,아시아
스리랑카,아시아
미얀마,아시아
몽골,아시아
마카오,아시아
몰디브,아시아
말레이시아,아시아
네팔,아시아
필리핀,아시아
파키스탄,아시아
싱가포르,아시아
태국,아시아
타지키스탄,아시아
동티모르,아시아
투르크메니스탄,아시아
대만,아시아
우즈베키스탄,아시아
베트남,아시아
러시아,아시아
아랍에미레이트,아시아
바레인,아시아
알제리,아시아
이집트,아시아
이스라엘,아시아
이라크,아시아
이란,아시아
요르단,아시아
쿠웨이트,아시아
레위니옹,그 외
레바논,아시아
오만,아시아
카타르,아시아
사우디아라비아,아시아
시리아,아시아
예맨,아시아
팔레스타인,아시아
압하지야,아시아
세베로오세티야,아시아
조지아,아시아
에스와티니,아프리카
리비아,아프리카
모로코,아프리카
모리타니,아프리카
비아프라,아프리카
수단,아프리카
튀니지,아프리카
앙골라,아프리카
부르키나파소,아프리카
부룬디,아프리카
보츠와나,아프리카
콩고민주공화국,아프리카
중앙아프리카공화국,아프리카
적도 기니,아프리카
코트디부아르,아프리카
카메룬,아프리카
차드,아프리카
카보베르데,아프리카
지부티,아프리카
사하라 아랍 민주 공화국(서사하라),아프리카
에티오피아,아프리카
가봉,아프리카
가나,아프리카
감비아,아프리카
기니,아프리카
케냐,아프리카
코모로,아프리카
라이베리아,아프리카
레소토,아프리카
마다가스카르,아프리카
말리,아프리카
모리셔스,아프리카
말라위,아프리카
모잠비크,아프리카
나미비아,아프리카
니제르,아프리카
나이지리아,아프리카
세이셸,아프리카
시에라리온,아프리카
세네갈,아프리카
소말릴란드(소말리아 영토),아프리카
소말리아,아프리카
남수단,아프리카
상투메 프린스페,아프리카
차드,아프리카
토고,아프리카
탄자니아(진자바르),아프리카
르완다,아프리카
우간다,아프리카
남아프리카 공화국,아프리카
잠비아,아프리카
자이르,아프리카
짐바브웨,아프리카
베냉,아프리카
에리트레아,아프리카
괌,오세아니아
나우루,오세아니아
미크로네시아 연방,오세아니아
키리바시,오세아니아
마셜 제도,오세아니아
북마리아나 군도,오세아니아
팔라우,오세아니아
투발루,오세아니아
바누아투,오세아니아
왈리스 푸투나,오세아니아
호주,오세아니아
쿡 제도,오세아니아
피지,오세아니아
괌,오세아니아
니우에,오세아니아
뉴질랜드,오세아니아
파푸아뉴기니,오세아니아
솔로몬 제도,오세아니아
통가,오세아니아
사모아,오세아니아
북아일랜드,유럽
포르투갈,유럽
웨일스,유럽
북마케도니아,유럽
안도라,유럽
코소보,유럽
벨라루스,유럽
트란스니스트리아,유럽
알바니아,유럽
오스트리아,유럽
보스니아 헤르체고비나,유럽
벨기에,유럽
불가리아,유럽
스위스,유럽
체코,유럽
독일,유럽
스코틀랜드,유럽
잉글랜드,유럽
덴마크,유럽
프랑스령 폴리네시아,그 외
프랑스령 기아나,그 외
마요트,그 외
에스토니아,유럽
과들루프,그 외
스페인,유럽
핀란드,유럽
프랑스,유럽
영국,유럽
그리스,유럽
크로아티아,유럽
헝가리,유럽
아일랜드,유럽
아이슬란드,유럽
이탈리아,유럽
리히텐슈타인,유럽
리투아니아,유럽
룩셈부르크,유럽
라트비아,유럽
모나코,유럽
몰도바,유럽
몬테네그로,유럽
몰타 공화국,유럽
네덜란드,유럽
노르웨이,유럽
폴란드,유럽
루마니아,유럽
세르비아,유럽
스웨덴,유럽
슬로베니아,유럽
스발비드 군도,유럽
슬로바키아,유럽
산마리노,유럽
우크라이나,유럽
바티칸 시국,유럽
불가리아,유럽